#,0,1,2,3,4,5,6,7,8
DTD,WORD,BYTE,BYTE,SHORT,SHORT,SHORT,SHORT,BYTE,WORD
NAM,SprId,IdType,Layer,DX,DY,OffsetX,OffsetY,Loop,Move
#,“˝”√ID°æ∏˘æ›∫Û√Êµƒ¿‡–Õæˆ∂®À˜“˝ƒƒ’≈±Ì°ø,ID¿‡–Õ°æ0:æ´¡È[æ≤Ã¨]|1:Ãÿ–ß[Õ¨≤„ª·∏≤∏«æ´¡È]°ø,≤„¿‡–Õ°æ0:‘∂æ∞|1:÷–æ∞|2:µÿ√Ê|3:«∞æ∞°ø,‰÷»æµΩX°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,‰÷»æµΩY°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆X°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,∆´“∆Y°æÕº∆¨◊Ûœ¬Ω«Œ™‘≠µ„°ø,—≠ª∑¥Œ ˝,"“∆∂Ø«ß∑÷±»°æ‘∂æ∞Ω®“È0|÷–æ∞(0,1000)|µÿ√Ê±ÿ–ÎŒ™1000|Ω¸æ∞±ÿ–Î¥Û”⁄1000°ø"
RAN,"[0,65500]","[0,250]","[0,250]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[-32000,32000]","[1,250]","[0,65500]"
0,30100,0,0,0,324,0,0,3,600
1,30101,0,1,0,313,0,0,3,800
2,30102,0,2,0,0,0,0,3,1000
3,30103,0,3,0,0,0,0,3,1200
4,55030,1,2,130,270,0,0,1,1000
5,25035,1,2,847,280,0,0,1,1000
6,25030,1,2,1154,270,0,0,1,1000
7,25035,1,2,1871,280,0,0,1,1000
8,25030,1,2,2178,270,0,0,1,1000
9,25035,1,2,2895,280,0,0,1,1000